surface_form	bucket	number	reference_entry
(Yan et al., 2014)	in-corpus	1	Yan, W.-J., Li, X., Wang, S.-J., Zhao, G., Liu, Y.-J., Chen, Y.-H., & Fu, X. (2014). CASME II: An improved spontaneous micro-expression database and the baseline evaluation. *PLoS ONE*, 9(1), e86041.
Yan et al. (2014)	in-corpus	1	Yan, W.-J., Li, X., Wang, S.-J., Zhao, G., Liu, Y.-J., Chen, Y.-H., & Fu, X. (2014). CASME II: An improved spontaneous micro-expression database and the baseline evaluation. *PLoS ONE*, 9(1), e86041.
(2014)	in-corpus	1	Yan, W.-J., Li, X., Wang, S.-J., Zhao, G., Liu, Y.-J., Chen, Y.-H., & Fu, X. (2014). CASME II: An improved spontaneous micro-expression database and the baseline evaluation. *PLoS ONE*, 9(1), e86041.
(Shreve et al., 2011)	in-corpus	2	Shreve, M., Godavarthy, S., Goldgof, D., & Sarkar, S. (2011). Macro- and micro-expression spotting in long videos using spatio-temporal strain. *IEEE International Conference on Automatic Face and Gesture Recognition (FG 2011)*, 51–56.
(Li et al., 2013)	in-corpus	3	Li, X., Pfister, T., Huang, X., Zhao, G., & Pietikäinen, M. (2013). A spontaneous micro-expression database: Inducement, collection and baseline. *10th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2013)*.
(Yan et al., 2013)	out-of-corpus		
Yan et al. (2014, Table 1)	in-corpus	1	Yan, W.-J., Li, X., Wang, S.-J., Zhao, G., Liu, Y.-J., Chen, Y.-H., & Fu, X. (2014). CASME II: An improved spontaneous micro-expression database and the baseline evaluation. *PLoS ONE*, 9(1), e86041.
(2014, Table 1)	in-corpus	1	Yan, W.-J., Li, X., Wang, S.-J., Zhao, G., Liu, Y.-J., Chen, Y.-H., & Fu, X. (2014). CASME II: An improved spontaneous micro-expression database and the baseline evaluation. *PLoS ONE*, 9(1), e86041.
Li et al. (2013)	in-corpus	3	Li, X., Pfister, T., Huang, X., Zhao, G., & Pietikäinen, M. (2013). A spontaneous micro-expression database: Inducement, collection and baseline. *10th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2013)*.
(2013)	in-corpus	3	Li, X., Pfister, T., Huang, X., Zhao, G., & Pietikäinen, M. (2013). A spontaneous micro-expression database: Inducement, collection and baseline. *10th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2013)*.
Yan et al. (2014, Table 3)	in-corpus	1	Yan, W.-J., Li, X., Wang, S.-J., Zhao, G., Liu, Y.-J., Chen, Y.-H., & Fu, X. (2014). CASME II: An improved spontaneous micro-expression database and the baseline evaluation. *PLoS ONE*, 9(1), e86041.
(2014, Table 3)	in-corpus	1	Yan, W.-J., Li, X., Wang, S.-J., Zhao, G., Liu, Y.-J., Chen, Y.-H., & Fu, X. (2014). CASME II: An improved spontaneous micro-expression database and the baseline evaluation. *PLoS ONE*, 9(1), e86041.
(MEGC 2019; See et al., 2019)	in-corpus	4	See, J., Yap, M. H., Li, J., Hong, X., & Wang, S.-J. (2019). MEGC 2019 — The second facial micro-expressions grand challenge. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(See et al., 2019, Table III)	in-corpus	4	See, J., Yap, M. H., Li, J., Hong, X., & Wang, S.-J. (2019). MEGC 2019 — The second facial micro-expressions grand challenge. *14th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2019)*.
(LBP-TOP; Zhao & Pietikäinen, 2007)	in-corpus	5	Zhao, G., & Pietikäinen, M. (2007). Dynamic texture recognition using local binary patterns with an application to facial expressions. *IEEE Transactions on Pattern Analysis and Machine Intelligence*, 29(6), 915–928.
